config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04831429198384285,False,805,584,4310,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,159,3517,0,569,14,0.02460456942003515,{},1.1669471859931946e-06,0.010276013053953648,0.0010029117111116648,8.708098903298378e-06,0.011354432441294193,0.03388423006981611,0.0030072955414652824,5.845888517796993e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.13706016703508794,False,1677,1104,11207,26,8,8,1.0,5,5,5,False,adaptive_disabled,0,431,9552,0,1081,22,0.020351526364477335,{},5.20818866789341e-06,0.026802504900842905,0.002570514101535082,8.533312939107418e-05,0.029502741061151028,0.10124082793481648,0.0062100139912217855,1.604272983968258e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.010371250100433826,False,189,121,995,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,33,810,0,133,4,0.03007518796992481,{},1.375097781419754e-06,0.002360082697123289,0.00023624696768820286,1.0708114132285118e-05,0.0026048708241432905,0.007020958233624697,0.0007164210546761751,1.6916776075959206e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.029376375023275614,False,596,252,4850,23,8,8,1.0,5,5,5,False,adaptive_disabled,0,165,4261,0,377,7,0.01856763925729443,{},3.7080608308315277e-06,0.011510634096339345,0.001100617228075862,6.483308970928192e-05,0.012625064002349973,0.014519213000312448,0.002151931868866086,1.1625001206994057e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.044855125015601516,False,614,422,4676,1678,8,8,1.0,5,5,5,False,adaptive_disabled,0,119,4005,0,420,1,0.002380952380952381,{},0.00016762502491474152,0.010997395496815443,0.0008515010122209787,0.004106707870960236,0.007816408295184374,0.030433377716690302,0.0023082559928297997,2.2750115022063255e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.4909786661155522,False,7034,4934,36706,29,8,8,1.0,5,5,5,False,adaptive_disabled,0,1622,29584,0,4867,68,0.01397164577768646,{},3.583962097764015e-06,0.08616044116206467,0.008617468178272247,7.774983532726765e-05,0.09549153526313603,0.37008971394971013,0.025303875794634223,1.2207310646772385e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.06923575000837445,False,1125,737,7059,37,8,8,1.0,5,5,5,False,adaptive_disabled,0,277,5910,0,719,19,0.02642559109874826,{},4.667090252041817e-06,0.016714464407414198,0.0016301677096635103,0.00010341615416109562,0.01838740915991366,0.04658645438030362,0.00414080242626369,1.3000797480344772e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.05646983301267028,False,961,675,5209,2,2,2,1.0,5,5,5,False,adaptive_disabled,0,208,4245,0,662,20,0.030211480362537766,{},1.2079253792762756e-06,0.01225101831369102,0.001232437090948224,7.3749106377363205e-06,0.013582221232354641,0.03937333123758435,0.0034439475275576115,6.175017915666103e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.0008323329966515303,False,23,6,224,3,3,3,1.0,5,5,5,False,adaptive_disabled,0,10,194,0,10,0,0.0,{},1.6668345779180527e-06,0.0005347072146832943,5.291169509291649e-05,1.3665994629263878e-05,0.0005809126887470484,0.0001340413000434637,8.325395174324512e-05,1.8792226910591125e-05,True,True
pvs_d5_b8__conservative,pvs,5,8,,conservative,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.09475562511943281,False,1481,1103,8216,1686,8,8,1.0,5,5,5,False,at_max_depth,0,278,6735,0,1101,1,0.0009082652134423251,{},0.00016675004735589027,0.019746361766010523,0.0017207381315529346,0.0041705830954015255,0.017443545628339052,0.06727749388664961,0.005672835512086749,2.4416949599981308e-05,True,True
