config_id,agent,position_id,seed,risk_level,repetition,selected_edge,score,elapsed_time_sec,timed_out,nodes_searched,completed_root_moves,effective_depth
alpha_beta_d4_b8,alpha_beta,seed0_late_t69,0,normal,3,1→63,-146.5,0.022727542091161013,False,161,8,4
alpha_beta_d4_b8,alpha_beta,seed0_late_t69,0,normal,4,1→63,-146.5,0.0227037500590086,False,161,8,4
alpha_beta_d4_b8,alpha_beta,seed0_caution_t60,0,caution,0,63→19,-2284.0,0.06182399997487664,False,633,8,4
alpha_beta_d4_b8,alpha_beta,seed0_caution_t60,0,caution,1,63→19,-2284.0,0.06230999995023012,False,633,8,4
alpha_beta_d4_b8,alpha_beta,seed0_caution_t60,0,caution,2,63→19,-2284.0,0.06261516606900841,False,633,8,4
alpha_beta_d4_b8,alpha_beta,seed0_caution_t60,0,caution,3,63→19,-2284.0,0.06253866699989885,False,633,8,4
alpha_beta_d4_b8,alpha_beta,seed0_caution_t60,0,caution,4,63→19,-2284.0,0.062331417109817266,False,633,8,4
alpha_beta_d4_b8,alpha_beta,seed0_danger_t70,0,danger,0,63→1,-3526.0,0.017455957946367562,False,155,5,4
alpha_beta_d4_b8,alpha_beta,seed0_danger_t70,0,danger,1,63→1,-3526.0,0.017506291973404586,False,155,5,4
alpha_beta_d4_b8,alpha_beta,seed0_danger_t70,0,danger,2,63→1,-3526.0,0.01755474996753037,False,155,5,4
alpha_beta_d4_b8,alpha_beta,seed0_danger_t70,0,danger,3,63→1,-3526.0,0.01765945798251778,False,155,5,4
alpha_beta_d4_b8,alpha_beta,seed0_danger_t70,0,danger,4,63→1,-3526.0,0.01780858403071761,False,155,5,4
alpha_beta_d4_b8,alpha_beta,seed0_critical_t75,0,critical,0,63→63,999997.0,0.0010578749934211373,False,20,3,4
alpha_beta_d4_b8,alpha_beta,seed0_critical_t75,0,critical,1,63→63,999997.0,0.0010148329893127084,False,20,3,4
alpha_beta_d4_b8,alpha_beta,seed0_critical_t75,0,critical,2,63→63,999997.0,0.0010019579203799367,False,20,3,4
alpha_beta_d4_b8,alpha_beta,seed0_critical_t75,0,critical,3,63→63,999997.0,0.0010297090047970414,False,20,3,4
alpha_beta_d4_b8,alpha_beta,seed0_critical_t75,0,critical,4,63→63,999997.0,0.0009950839448720217,False,20,3,4
alpha_beta_d4_b8,alpha_beta,seed1_early_t0,1,normal,0,0→35,-886.5,0.07878433295991272,False,575,8,4
alpha_beta_d4_b8,alpha_beta,seed1_early_t0,1,normal,1,0→35,-886.5,0.05478250002488494,False,575,8,4
alpha_beta_d4_b8,alpha_beta,seed1_early_t0,1,normal,2,0→35,-886.5,0.05440408398862928,False,575,8,4
alpha_beta_d4_b8,alpha_beta,seed1_early_t0,1,normal,3,0→35,-886.5,0.05496970901731402,False,575,8,4
alpha_beta_d4_b8,alpha_beta,seed1_early_t0,1,normal,4,0→35,-886.5,0.054752166965045035,False,575,8,4
alpha_beta_d4_b8,alpha_beta,seed1_middle_t33,1,normal,0,1→63,-496.5,0.021260958048515022,False,235,8,4
alpha_beta_d4_b8,alpha_beta,seed1_middle_t33,1,normal,1,1→63,-496.5,0.021375916083343327,False,235,8,4
alpha_beta_d4_b8,alpha_beta,seed1_middle_t33,1,normal,2,1→63,-496.5,0.021221875096671283,False,235,8,4
alpha_beta_d4_b8,alpha_beta,seed1_middle_t33,1,normal,3,1→63,-496.5,0.02117129194084555,False,235,8,4
