position_id,seed,split,category,turn,depth,branch_limit,full_config_id,selective_config_id,full_complete,selective_complete,comparable,full_selected_edge,selective_selected_edge,move_agreement,score_agreement,full_score,selective_score,full_time_sec,selective_time_sec,selective_speedup,full_nodes,selective_nodes,selective_node_ratio,full_root_candidates,selective_root_candidates,full_root_completion_rate,selective_root_completion_rate,full_timed_out,selective_timed_out
seed1_late_t236,1,tuning,late,236,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,35→56,35→56,True,False,-668.5,-418.5,0.16947829187847674,0.06541495793499053,2.590818632749172,1872,830,0.44337606837606836,7,7,1.0,1.0,False,False
seed1_middle_t120,1,tuning,middle,120,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,9→35,9→35,True,True,-644.0,-644.0,0.21954383398406208,0.05047679087147117,4.349401580284404,2889,678,0.23468328141225336,47,12,1.0,1.0,False,False
seed2_early_pruning_t10,2,validation,early_pruning,10,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,63→42,63→42,True,False,-1346.5,-1157.5,0.09582862490788102,0.06117675011046231,1.566422288448641,1022,733,0.7172211350293543,10,10,1.0,1.0,False,False
seed2_early_t0,2,validation,early,0,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,False,True,False,63→63,1→20,,,-388.0,-736.5,1.000040375161916,0.1623496669344604,6.159793204661309,12664,2131,0.1682722678458623,2252,12,0.14209591474245115,1.0,True,False
seed2_few_legal_t64,2,validation,few_legal,64,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,20→2,20→2,True,False,-1326.5,-1303.0,0.13005500007420778,0.04935133294202387,2.6352884982253997,1145,444,0.38777292576419214,6,6,1.0,1.0,False,False
seed2_late_t60,2,validation,late,60,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,63→42,63→42,True,True,-1326.5,-1326.5,0.08948550000786781,0.058330958941951394,1.5340995867549538,951,690,0.7255520504731862,10,10,1.0,1.0,False,False
seed2_middle_t32,2,validation,middle,32,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,55→63,55→63,True,True,-248.0,-248.0,0.09597483300603926,0.04258133308030665,2.253917997941367,1125,485,0.4311111111111111,32,12,1.0,1.0,False,False
seed0_early_pruning_t17,0,tuning,early_pruning,17,4,16,full_alpha_beta_d4,selective_alpha_beta_d4_b16,True,True,True,28→42,28→42,True,True,-369.5,-369.5,0.3129662498831749,0.17386050010100007,1.8000997909321823,3981,2181,0.5478522984174831,37,16,1.0,1.0,False,False
seed0_early_t0,0,tuning,early,0,4,16,full_alpha_beta_d4,selective_alpha_beta_d4_b16,False,True,False,63→63,1→35,,,-399.5,-429.5,1.0000362498685718,0.08234908385202289,12.14386612564611,12521,911,0.07275776695152145,2248,16,0.12677935943060498,1.0,True,False
seed0_few_legal_t1,0,tuning,few_legal,1,4,16,full_alpha_beta_d4,selective_alpha_beta_d4_b16,True,True,True,35→63,35→63,True,True,-419.5,-419.5,0.061022625071927905,0.058093125000596046,1.0504276551020761,726,684,0.9421487603305785,8,8,1.0,1.0,False,False
seed0_late_t49,0,tuning,late,49,4,16,full_alpha_beta_d4,selective_alpha_beta_d4_b16,True,True,True,11→46,11→46,True,True,-308.0,-308.0,0.3960110410116613,0.19591662497259676,2.0213243315469125,5212,2501,0.4798541826554106,32,16,1.0,1.0,False,False
