match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_graph_control_vs_minimax_rep0,19,1000,80-100%,0.982,False,10,1000000011.1698976,300000003.20487434,1,10,False,False,False,False,both,,,0.002226124983280897,0.0010077068582177162,0.00010904192458838224,0.00018316600471735
D1000_seed0_graph_control_vs_minimax_rep0,21,1000,80-100%,0.98,False,9,1000000011.2724949,314269683.900499,1,9,False,False,False,False,both,,,0.0020545830484479666,0.0009552487172186375,9.912403766065836e-05,0.00015866616740822792
D1000_seed0_graph_control_vs_minimax_rep0,23,1000,80-100%,0.978,False,20,1000000013.9018265,217944949.58851147,1,20,False,False,False,False,both,,,0.00424983398988843,0.0019905846565961838,0.00022537773475050926,0.00034466711804270744
D1000_seed0_graph_control_vs_minimax_rep0,25,1000,80-100%,0.976,False,4,0.6819970503196551,0.24751321087526923,1,4,False,False,True,True,local_only,,,0.0009069578954949975,0.00039120903238654137,4.704180173575878e-05,7.525004912167788e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,1,1000,80-100%,1.0,False,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.12280237500090152,0.05078903178218752,0.006012752768583596,0.009166040807031095
D1000_seed0_graph_control_vs_alpha_beta_rep0,3,1000,80-100%,0.998,False,8,0.7165507867645147,0.2858721793635851,1,8,False,False,True,True,local_only,False,False,0.0020420829532667994,0.0008200849406421185,0.00010054302401840687,0.00014970882330089808
D1000_seed0_graph_control_vs_alpha_beta_rep0,5,1000,80-100%,0.996,False,7,1.186151355116289,0.3518505429888044,1,7,False,False,True,True,local_only,,,0.0015655839815735817,0.000692667905241251,8.13330989331007e-05,0.00012554193381220102
D1000_seed0_graph_control_vs_alpha_beta_rep0,7,1000,80-100%,0.994,False,4,2.4794838251347695,0.9896151619926641,1,4,False,False,True,True,local_only,,,0.0009369169129058719,0.00040033285040408373,4.8042042180895805e-05,7.249903865158558e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,9,1000,80-100%,0.992,False,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.00023362506181001663,9.954196866601706e-05,1.2499978765845299e-05,1.870805863291025e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,11,1000,80-100%,0.99,False,7,1000000011.2886262,349927109.97021437,1,7,False,False,False,False,both,,,0.0014738749014213681,0.0006950411479920149,7.149891462177038e-05,0.00010958476923406124
D1000_seed0_graph_control_vs_alpha_beta_rep0,13,1000,80-100%,0.988,False,4,0.6146321792346203,0.22787116780279612,1,4,False,False,True,True,local_only,,,0.0009161250200122595,0.00039054197259247303,4.645809531211853e-05,8.416594937443733e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,15,1000,80-100%,0.986,False,5,2.2676486937583746,0.8308727598512745,1,5,False,False,True,True,local_only,True,False,0.0011632090900093317,0.000518249929882586,5.8040954172611237e-05,9.908294305205345e-05
D1000_seed0_graph_control_vs_alpha_beta_rep0,17,1000,80-100%,0.984,False,7,0.7264098086795077,0.2863602696846801,1,7,False,False,True,True,local_only,,,0.001584207988344133,0.0007139168446883559,8.170818910002708e-05,0.00012575008440762758
D1000_seed0_graph_control_vs_alpha_beta_rep0,19,1000,80-100%,0.982,False,4,1000000010.9306439,433012706.474103,1,4,False,False,False,False,both,,,0.0008003750117495656,0.0003941240720450878,3.641704097390175e-05,6.112386472523212e-05
D1000_seed0_graph_control_vs_pvs_rep0,1,1000,80-100%,1.0,False,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.12159029208123684,0.050533555913716555,0.0060315500013530254,0.009150676778517663
D1000_seed0_graph_control_vs_pvs_rep0,3,1000,80-100%,0.998,False,8,0.7165507867645147,0.2858721793635851,1,8,False,False,True,True,local_only,,,0.0019887080416083336,0.0008052518824115396,9.583181235939264e-05,0.00014733406715095043
D1000_seed0_graph_control_vs_pvs_rep0,5,1000,80-100%,0.996,False,7,1.186151355116289,0.3518505429888044,1,7,False,False,True,True,local_only,,,0.0016181659884750843,0.0007060418138280511,8.420704398304224e-05,0.00012979214079678059
D1000_seed0_graph_control_vs_pvs_rep0,7,1000,80-100%,0.994,False,4,2.4794838251347695,0.9896151619926641,1,4,False,False,True,True,local_only,True,False,0.0009509579977020621,0.0004237079992890358,4.666706081479788e-05,7.216609083116055e-05
D1000_seed0_graph_control_vs_pvs_rep0,9,1000,80-100%,0.992,False,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.00023920799139887094,0.00010087492410093546,1.2750038877129555e-05,1.850002445280552e-05
D1000_seed0_graph_control_vs_pvs_rep0,11,1000,80-100%,0.99,False,7,1000000011.2886262,349927109.97021437,1,7,False,False,False,False,both,,,0.0014722499763593078,0.0007004181388765574,7.100112270563841e-05,0.00010854203719645739
D1000_seed0_graph_control_vs_pvs_rep0,13,1000,80-100%,0.988,False,4,0.6146321792346203,0.22787116780279612,1,4,False,False,True,True,local_only,,,0.0009129589889198542,0.0003928329097107053,4.683295264840126e-05,8.208409417420626e-05
D1000_seed0_graph_control_vs_pvs_rep0,15,1000,80-100%,0.986,False,5,2.2676486937583746,0.8308727598512745,1,5,False,False,True,True,local_only,,,0.0011157500557601452,0.0004887100076302886,5.795806646347046e-05,9.324890561401844e-05
D1000_seed0_graph_control_vs_pvs_rep0,17,1000,80-100%,0.984,False,7,0.7264098086795077,0.2863602696846801,1,7,False,False,True,True,local_only,,,0.0015659999335184693,0.0006914996774867177,8.179107680916786e-05,0.00012653996236622334
D1000_seed0_graph_control_vs_pvs_rep0,19,1000,80-100%,0.982,False,4,1000000010.9306439,433012706.474103,1,4,False,False,False,False,both,True,False,0.0008100830018520355,0.0003945829812437296,3.6833109334111214e-05,6.158195901662111e-05
D1000_seed0_graph_control_vs_beam_negamax_rep0,1,1000,80-100%,1.0,False,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.1239780419273302,0.05112678464502096,0.0065369115909561515,0.009389240178279579
D1000_seed0_graph_control_vs_beam_negamax_rep0,3,1000,80-100%,0.998,False,12,1000000011.1792594,276385402.1341213,1,12,False,False,False,False,both,,,0.0027992500690743327,0.0012109598610550165,0.0001327489735558629,0.0002131687942892313
D1000_seed0_graph_control_vs_beam_negamax_rep0,5,1000,80-100%,0.996,False,2,0.2794152423614982,0.1397076211807491,1,2,False,False,True,True,local_only,,,0.0004878339823335409,0.0002114580711349845,2.454104833304882e-05,3.5792007111012936e-05
