match_id,turn,risk_level,root_candidate_count,nodes_searched,elapsed_time_sec,null_window_searches,research_count,research_rate,had_research
D1000_seed0_pvs_vs_greedy,3,normal,18,981,0.079904,654,14,0.021406727828746176,True
D1000_seed0_pvs_vs_greedy,5,near_death,2,222,0.014851,139,4,0.02877697841726619,True
D1000_seed0_pvs_vs_greedy,7,caution,9,737,0.045173,441,25,0.05668934240362812,True
D1000_seed0_pvs_vs_greedy,9,danger,4,369,0.018761,222,5,0.02252252252252252,True
D1000_seed0_pvs_vs_greedy,11,danger,5,160,0.015118,97,3,0.030927835051546393,True
D1000_seed0_pvs_vs_greedy,13,normal,8,635,0.034986,379,17,0.044854881266490766,True
D1000_seed0_pvs_vs_greedy,15,caution,6,444,0.032667,268,7,0.026119402985074626,True
D1000_seed0_pvs_vs_greedy,17,normal,11,131,0.007053,80,0,0.0,False
D1000_seed0_pvs_vs_minimax,1,normal,640,585,0.039911,360,8,0.022222222222222223,True
D1000_seed0_pvs_vs_minimax,3,normal,18,981,0.072929,654,14,0.021406727828746176,True
D1000_seed0_pvs_vs_minimax,5,near_death,2,222,0.015403,139,4,0.02877697841726619,True
D1000_seed0_pvs_vs_minimax,7,caution,9,737,0.051891,441,25,0.05668934240362812,True
D1000_seed0_pvs_vs_minimax,9,caution,6,230,0.015673,147,4,0.027210884353741496,True
D1000_seed0_pvs_vs_minimax,11,normal,12,523,0.02901,320,13,0.040625,True
D1000_seed0_pvs_vs_minimax,13,caution,6,439,0.025099,255,8,0.03137254901960784,True
D1000_seed0_pvs_vs_minimax,15,normal,20,496,0.028303,288,14,0.04861111111111111,True
D1000_seed0_pvs_vs_minimax,17,caution,7,630,0.033425,383,13,0.033942558746736295,True
D1000_seed0_pvs_vs_minimax,19,caution,11,549,0.028899,312,14,0.04487179487179487,True
D1000_seed0_pvs_vs_minimax,21,caution,10,240,0.009254,133,7,0.05263157894736842,True
D1000_seed0_pvs_vs_minimax,23,danger,3,316,0.011155,161,5,0.031055900621118012,True
D1000_seed0_pvs_vs_minimax,25,caution,9,269,0.010053,148,8,0.05405405405405406,True
D1000_seed0_pvs_vs_minimax,27,near_death,2,135,0.004516,67,2,0.029850746268656716,True
D1000_seed0_pvs_vs_minimax,29,caution,5,128,0.003885,56,1,0.017857142857142856,True
D1000_seed0_pvs_vs_minimax,31,caution,4,20,0.000498,8,0,0.0,False
D1000_seed0_minimax_vs_pvs,2,near_death,2,540,0.030428,356,20,0.056179775280898875,True
D1000_seed0_minimax_vs_pvs,4,caution,7,663,0.037435,445,9,0.020224719101123594,True
D1000_seed0_minimax_vs_pvs,6,danger,4,1339,0.074752,894,20,0.02237136465324385,True
D1000_seed0_minimax_vs_pvs,8,caution,7,1108,0.05848,719,17,0.02364394993045897,True
D1000_seed0_minimax_vs_pvs,10,normal,9,722,0.035778,449,5,0.011135857461024499,True
D1000_seed0_minimax_vs_pvs,12,normal,10,845,0.044629,546,11,0.020146520146520148,True
D1000_seed0_minimax_vs_pvs,14,normal,12,567,0.029546,344,12,0.03488372093023256,True
D1000_seed0_minimax_vs_pvs,16,near_death,1,239,0.01159,153,3,0.0196078431372549,True
D1000_seed0_minimax_vs_pvs,18,caution,6,274,0.01334,171,4,0.023391812865497075,True
D1000_seed0_minimax_vs_pvs,20,normal,12,583,0.031376,341,11,0.03225806451612903,True
D1000_seed0_minimax_vs_pvs,22,normal,11,475,0.019468,267,13,0.04868913857677903,True
D1000_seed0_minimax_vs_pvs,24,caution,11,298,0.013523,172,10,0.05813953488372093,True
D1000_seed0_minimax_vs_pvs,26,normal,19,350,0.012083,167,8,0.04790419161676647,True
D1000_seed0_minimax_vs_pvs,28,danger,5,97,0.003736,55,0,0.0,False
D1000_seed0_minimax_vs_pvs,30,normal,8,74,0.005765,32,0,0.0,False
D1000_seed0_minimax_vs_pvs,32,danger,5,13,0.000277,5,0,0.0,False
D3000_seed0_greedy_vs_pvs,2,near_death,2,2892,0.197069,2171,23,0.010594196222938737,True
