match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_graph_control_vs_monte_carlo_rep1,5,1000,80-100%,0.996,False,11,1.0668637088377189,0.35418581740528504,1,10,False,1000000011.0495604,False,False,False,both,True,False,0.0024472499499097466,0.0011244998313486576,0.00011541612911969423,0.000191959785297513
D1000_seed0_graph_control_vs_monte_carlo_rep1,7,1000,80-100%,0.994,False,2,2.3829729517125138,1.1914864758562569,1,2,False,2.3829729517125138,False,True,True,both,True,True,0.0004917079349979758,0.0002032910706475377,2.5166897103190422e-05,2.854189369827509e-05
D1000_seed0_graph_control_vs_monte_carlo_rep1,9,1000,80-100%,0.992,False,9,1.0011455283220414,0.2913102753392177,1,8,False,1000000011.4772323,False,False,False,both,True,False,0.0019030419643968344,0.0008842499228194356,9.308604057878256e-05,0.00013995904009789228
D1000_seed0_graph_control_vs_minimax_rep0,1,1000,80-100%,1.0,False,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.12815308291465044,0.05266670463606715,0.006851586862467229,0.009623120771721005
D1000_seed0_graph_control_vs_minimax_rep0,3,1000,80-100%,0.998,False,12,1.2139655236317157,0.37752292525939474,1,11,False,1000000011.1792594,False,False,False,both,True,False,0.0029553750064224005,0.0012556238798424602,0.000136291841045022,0.0002180817537009716
D1000_seed0_graph_control_vs_minimax_rep0,5,1000,80-100%,0.996,False,2,0.2794152423614982,0.1397076211807491,1,2,False,0.2794152423614982,False,True,True,local_only,True,True,0.0005659169983118773,0.00021437485702335835,2.9041082598268986e-05,4.070799332112074e-05
D1000_seed0_graph_control_vs_minimax_rep0,7,1000,80-100%,0.994,False,7,1.0224507726375016,0.3393542647545992,1,7,False,1.0224507726375016,False,True,True,local_only,True,False,0.001722958986647427,0.0007341250311583281,8.891685865819454e-05,0.00014216708950698376
D1000_seed0_graph_control_vs_minimax_rep0,9,1000,80-100%,0.992,False,4,0.5945706021580524,0.2513774504320283,1,3,False,1000000010.8218796,False,False,False,both,True,True,0.0009111660765483975,0.00041474890895187855,4.120811354368925e-05,6.683403626084328e-05
D1000_seed0_graph_control_vs_minimax_rep0,11,1000,80-100%,0.99,False,6,0.9227378682891221,0.2736779824677665,1,6,False,0.9227378682891221,False,True,True,local_only,True,True,0.0014949999749660492,0.0006272089667618275,7.549987640231848e-05,0.0001282928278669715
D1000_seed0_graph_control_vs_minimax_rep0,13,1000,80-100%,0.988,False,4,0.6273672273824484,0.23482922324749628,1,4,False,0.6273672273824484,False,True,True,local_only,True,False,0.0011209999211132526,0.00043608492705971,5.254289135336876e-05,0.00012545683421194553
D1000_seed0_graph_control_vs_minimax_rep0,15,1000,80-100%,0.986,False,8,2.10028139592459,0.6155488519222878,1,7,False,1000000012.5194006,False,False,False,both,True,False,0.001821083016693592,0.0008410001173615456,8.658412843942642e-05,0.00012374913785606623
D1000_seed0_graph_control_vs_minimax_rep0,17,1000,80-100%,0.984,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.00027029099874198437,0.00011441705282777548,1.5958095900714397e-05,2.0875013433396816e-05
D1000_seed0_graph_control_vs_minimax_rep0,19,1000,80-100%,0.982,False,10,1.0705310060222466,0.35831736292704924,1,9,False,1000000011.1698976,False,False,False,both,True,True,0.0023521659895777702,0.0010713767260313034,0.00011283298954367638,0.00018362316768616438
D1000_seed0_graph_control_vs_minimax_rep0,21,1000,80-100%,0.98,False,9,1.0984643895005224,0.3682020030385082,1,8,False,1000000011.2724949,False,False,False,both,True,False,0.0021272499579936266,0.0009628339903429151,0.00010191695764660835,0.00016250100452452898
