dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
75,3,ぷ,0,1,1,1,1.000000
75,3,へ,1,0,0,0,0.000000
75,3,ほ,1,0,0,0,0.000000
75,3,ま,1,1,0,1,0.000000
75,3,み,1,0,0,0,0.000000
75,3,む,2,3,3,3,1.000000
75,3,め,2,1,0,1,0.000000
75,3,も,1,1,1,1,1.000000
75,3,や,0,3,3,3,1.000000
75,3,よ,4,0,0,0,0.000000
75,3,ら,1,0,0,0,0.000000
75,3,り,3,2,0,2,0.000000
75,3,る,1,2,0,2,0.000000
75,3,れ,2,0,0,0,0.000000
75,3,わ,2,0,0,0,0.000000
75,3,ん,0,8,0,8,0.000000
75,3,ゔ,1,0,0,0,0.000000
75,4,あ,1,3,3,3,1.000000
75,4,い,2,5,0,5,0.000000
75,4,う,1,4,4,4,1.000000
75,4,え,1,0,0,0,0.000000
75,4,お,3,2,2,2,1.000000
75,4,か,5,0,0,0,0.000000
75,4,が,1,0,0,0,0.000000
75,4,き,0,3,3,3,1.000000
75,4,ぎ,0,1,1,1,1.000000
75,4,く,0,5,5,5,1.000000
75,4,ぐ,1,1,1,1,1.000000
75,4,け,1,0,0,0,0.000000
75,4,げ,1,0,0,0,0.000000
75,4,こ,3,2,0,2,0.000000
75,4,さ,4,1,0,1,0.000000
75,4,し,5,2,1,2,0.500000
75,4,じ,4,2,0,2,0.000000
75,4,す,3,7,0,7,0.000000
75,4,ず,2,0,0,0,0.000000
75,4,せ,4,0,0,0,0.000000
75,4,そ,3,1,0,1,0.000000
75,4,ぞ,1,0,0,0,0.000000
75,4,た,1,0,0,0,0.000000
75,4,ち,2,2,0,2,0.000000
75,4,つ,0,2,2,2,1.000000
75,4,て,1,0,0,0,0.000000
75,4,と,1,4,0,4,0.000000
75,4,ど,1,0,0,0,0.000000
75,4,な,2,1,1,1,1.000000
75,4,に,0,1,1,1,1.000000
75,4,ね,2,1,0,1,0.000000
75,4,は,2,0,0,0,0.000000
75,4,ば,1,0,0,0,0.000000
75,4,ひ,1,0,0,0,0.000000
75,4,び,1,0,0,0,0.000000
